𠀔	AZOd
𠀛	BdLOd	bdlo, pred:AALdOd.AALO, rank:0',
𠀭	AUfY	auy, pred:PfY.PfY, rank:0',
𣎴	Gi
𠁊	AOdOdOdOdGd	aoog, pred:BdOdOdOdOdOd.BdOO, rank:0',
𠁤	JdRd	jdrd, pred:RdJ.RdJ, rank:0',
𠁴	JdIOsOsOsOs	jdoo, pred:JIOsOsOsOs.JIOO, rank:0',
𠁿	KdBdS	kdbs, pred:AZiS.AZS ASZi.ASZi, rank:0',
𠂁	NdS	nds, pred:MBdIS.MBIS, rank:0',
𠂌	Md	mdvv, pred:MAI.MAI, rank:0',
𠂑	RhSM	rhsm, pred:RhMS.RhMS, rank:0',
𠂓	OdZs	odzs, pred:MMZs.MMZs, rank:0',
𠂖	MeOd	meod, pred:PdIA.PdIA, rank:0',
𠂟	MUaM	mum, pred:MGdUd.MGUd, rank:0',
𠀀	AiH
𠀈	NYA	nya, pred:𠀈.𠀈, rank:0',
𠀉	NBd	nbd, pred:𠀉.𠀉, rank:0',
𠀌	XAIA	xaia, pred:𠀌.𠀌, rank:0',
𠀍	Ea	eaaa, pred:𠀍.𠀍, rank:0',
𠀜	BdKuO	bdko, pred:Bd④.Bd④, rank:0',
𠀟	FXZ	fxz, pred:𠀟.𠀟, rank:0',
𠀪	EcS	ecs, pred:⑤AS.AS, rank:0',
𠀫	EcM	ecm, pred:⑤AM.AM, rank:0',
𠁅	CXMRyOdS	cxos, pred:⑥RyOdS.RyOS, rank:0',
𠁘	AiQdLkBUo	aibu, pred:AQd⑫.AQd, rank:0',
𠁢	IY	iyvv, pred:I㇍.I㇍, rank:0',
𠁣	IXb	ixb, pred:𠁣.𠁣, rank:0',
𠁦	JId	jid, pred:𠁦.𠁦, rank:0',
𠁧	JZAI	jzai, pred:𠁧.𠁧, rank:0',
𠁩	BdJId	bdji, pred:𠁩.𠁩, rank:0',
𠁬	IAAI	iaai, pred:EXI②.EXI, rank:0',
𠁰	BiXbH	bixh, pred:𠁰.𠁰, rank:0',
𠁱	BdIJKvA	bdka, pred:𠁱.𠁱, rank:0',
𠁲	IXXXBdNd	ixbn ybnd, pred:⑦BdNd.BdNd, rank:0',
𠁾	ZSX	zsx, pred:𠁾.𠁾, rank:0',
𠂀	ES	esvv, pred:𠂀.𠂀, rank:0',
𠂂	SZXMIA	szia wdae, pred:𠂂.𠂂, rank:0',
𠂍	MYM	mym, pred:𠂍.𠂍, rank:0',
𠂜	MIAIA	miia, pred:M④.M④, rank:0',
𠂣	PdXZ	pdxz, pred:𠂣.𠂣, rank:0',
𠂩	RhARhA	rhra, pred:③③.③③, rank:0',
𠂮	PdAiZYda	pdzy, pred:Pd④.Pd④, rank:0',
𠂶	RzAM	rzam, pred:⑥AM.AM, rank:0',
𠂼	NdHHXX	ndxx, pred:𠂼.𠂼, rank:0',
𠃈	NCZiGrZiGrZiGr	nczg, pred:⑤ZiGrZiGrZiGr.ZiZG, rank:0',
𠃉	Z	zaa myda, pred:𠃉.𠃉, rank:0',
𠃎	AI	aivv, pred:𠃎.𠃎, rank:0',
𠃛	HI	hivv, pred:𠃛.𠃛, rank:0',
𠃢	WWAANd	hian wwan, pred:𠃢.𠃢, rank:0',
