一	A
丁	Ai
土	Ba
士	Baa
二	Bd
工	Bi
示	Bk
者	Bm
耂	Bmaa
走	Bo
亞	Bz
𠁁	Bza
王	Ca
𤣩	Caa
鬥	Cc
三	Cd
耳	Ce
長	Ch	//tc
长	Cha	//tc
镸	Chaa
髟	Chaa
豐	Ci	//tc
丰	Cia	//tc
龶	Ciaa
耒	Ck
春	Co
𡗗	Coaa
玉	Cs
馬	Cu
扌	Daaa
寸	Ds
卅	Eaa
艹	IAId	//?
艹	Eaaa
卄	Eaaa
卌	Eaaa
廾	Eaaa
龷	Eaaa
廿	Ea
丗	Eaaa
甘	Eb
𠀎	Ebaa
其	Ec
十	Ed
𬂛	Edaa
革	Ee
栽	Eh
𢦏	Ehaa
木	Fa
朩	Faaa
𣎳	Faaa
甫	Fb
酉	Fd
西	Fj
襾	Fjaa
覀	Fjaa
車	Fk
雨	Fv
石	Ga
大	Gd
𠂇	Gdaa
厂	Gga	//tc
丆	Gdaa
辰	Gh
不	Gi
而	Gl
尨	Gm	//tc
龙	Gma	//tc
頁	Go
页	Goa
豕	Gq
乑	Gqaa
𧰨	Gqaa
尤	Gr
兀	Gra
尢	Graa
臣	Ha
匸	Haaa
𦣞	Haaa
𦣝	Haaa
𠥓	Haaa
匚	Haaa
至	Hb
七	Hd
𫠠	Hdaa
车	Hea	//tc
牙	Hi
戈	Hm
𭠍	Hmaa
戋	Hmaa
㦮	Hmaa
戊	Hmaa
弋	Hsa
虫	Ia
丨	Iaaa
亅	Iaaa
卜	Id
⺊	Idaa
虎	Ih
虍	Ihaa
止	Ii
龰	Iiaa
齒	Io	//tc
齿	Ioa	//tc
口	Ja
〇	Jaa
㇣	Jaaa
因	Jd
囗	Jda
足	Ji
𧾷	Jiaa
日	Ka
曰	Kaa
非	Kc
刂	Kdaa
〢	Kdaa
田	Ki
由	Kia
甴	Kiaa
由	Kia
甲	Kib
曱	Kiba
申	Kic
小	Ko
⺌	Koaa
𡭔	Koaa
𣥂	Koaa
业	Ku
水	Kv
氺	Kvaa
目	Laa
且	Lca
同	Ld
冂	Lda
𠔼	LdAv
同	LdAJ
𦉫	LdBd
用	LdBi
𠕁	LdE
冋	LdJ
𠔿	LdOd
冏	LdOJ
冈	LdOs
网	LdOsOs
岡	LdUaLl
㒺	LdUaOdZ
罔	LdUaSh
𦉳	LdXsXs
巾	Li
咼	Lj
四	Lk
罒	Lkaa
皿	Lka
山	Ll
貝	Lo	//tc
贝	Loa	//tc
見	Lr	//tc
见	Lra	//tc
骨	Lw
𥫗	Maaa
㇓	Maaa
丿	Maaa
矢	Ma
𠂉	Maaa
牛	Mb
𠂒	Mbaa
㐄	Mbaa
牜	Mbaa
生	Mc
手	Md
龵	Mdaa
千	Me
禾	Mf
毛	Mh
舌	Mi
竹	MaMi
攵	Moaa
𨸏	Myaa
氣	My	//tc
气	Mya	//tc
亻	Naaa
𦥑	Nba
𦥔	Nbaa
身	Nc
川	Nd
𫶧	Ndaa
𣶒	Ndaa
隹	Ni
鬼	Nj
白	Nk
自	Nl
片	Nx
八	Oa
人	Od
入	Oda
𠆢	Odaa
行	Oi
彳	Oiaa
乂	Osa
㐅	Osaa
𠂭	Osaa
食	Ox
飠	Oxaa
饣	Oxaa
𩙿	Oxaa
金	Pa
釒	Paaa
钅	Paaa
斤	Pd
丘	Pda
𠂆	Pdaa
彡	Pdaa
釆	Pf
豸	Pqaa
瓜	Ps
爪	Pv
爫	Pvaa
舟	Py
月	Q
⺆	Qaaa
几	Qd
𠘨	Qdaa
𠘧	Qdaa
凡	Qda
風	Qi
犭	Qmaa
殳	Qx
九	Qy
魚	Ra	//tc
鱼	Raa	//tc
𠂊	Raaa
儿	Rd
氏	Rh
𧘇	Rhaa
欠	Ro
匕	Rra
𠤎	Rraa
夕	Rs
夂	Rsaa
夊	Rsaa
包	Ry
匃	Rya
勹	Ryaa
鳥	Rz	//tc
鸟	Rz	//tc
烏	Rza	//tc
乌	Rza	//tc
言	Sa
丶	Saa
亠	Saaa
訁	Saaa
讠	Saaa
辛	Se
亡	Sh
龍	Si	//tc. sc Sia to leave room for 让
文	So
立	Su
方	Sy
病	Ta
疒	Taaa
冫	Tdaa
⺀	Tdaa
广	Tga	//tc
丬	Tiaa
门	Tla	//tc
鹿	Tx
忄	Uaaa
㣺	Uaaa
䒑	Uaaa
半	Ub
𢆉	Ubaa
𠔉	Ubaa
羊	Uc
𦍌	Ucaa
丷	Udaa
米	Uf
火	Uo
灬	Uoaa
氵	Vaaa
𭕄	Vdaa
之	Wa
辶	Waaa
定	Wd
宀	Wdaa
戶	Wm	//tc
