		//zhuyin
ㄅ	Ry	b
ㄆ	Rs	p
ㄇ	Ld	m
ㄈ	H	f
ㄪ	AYm	v
ㄉ	MYd	d
ㄊ	Hd	t
ㄋ	Y	n
ㄌ	MYm	l
ㄍ	Zd	g
ㄎ	AZ	k
ㄫ	Gr	ng
ㄏ	Gg	h
ㄐ	Zi	j
ㄑ	Z	q
ㄬ	T	gn
ㄒ	AI	x
ㄓ	ZiA	zh
ㄔ	Oi	ch
ㄕ	Xm	sh
ㄖ	JdS	r
ㄗ	Y	z
ㄘ	AZX	c
ㄙ	Zs	s
ㄚ	UdI	a
ㄛ	AIH	o
ㄜ	EdH	e
ㄝ	EdZ	ie
ㄞ	AZM	ai
ㄟ	Yda	ei
ㄠ	ZZs	ao
ㄡ	Xs	ou
ㄢ	XZX	an
ㄣ	ZX	en
ㄤ	Gr	ang
ㄥ	Z	eng
ㄦ	Nd	er
ㄧ	A	yi
ㄨ	Os	wu
ㄩ	Zi	yu
ㄭ	ALi	(z)i
ㆠ	RyJ	bb
ㆣ	ZdJ	gg
ㆢ	ZiJ	jj
ㆡ	YJ	zz
ㆨ	OsA	ir
ㆦ	AIZm	oo
ㆤ	YZA	e
ㆩ	UdIJ	na
ㆧ	AIZmJ	no
ㆥ	YZAJ	ne
ㆪ	AJ	ni
ㆳ	IJ	ni
ㆫ	OsJ	nu
ㆮ	AZMJ	nai
ㆯ	ZZsJ	nau
ㆰ	UdLdI	am
ㆱ	ALdIH	om
ㆲ	Bi	ong
ㆬ	LdI	m
ㆭ	GrI	ng
ㆴ	Ry	-p
ㆵ	MYd	-t
ㆻ	Zd	-k
ㆶ	AZ	-k*
ㆷ	Gg	-h
ㆼ	Zm	gw
ㆽ	AZm	kw
ㆾ	ZA	eo
ㆿ	O	a
ˊ		2
ˇ		3
ˋ		4
˙		5
˪		h4
˫		7
		//katakana
ア	YM
イ	N
ウ	IIY
エ	Bi
オ	DM
カ	Ym
キ	Bi
ク	R
ケ	MaM
コ	X
サ	EdM
シ	TdA
ス	RsA
セ	YzA
ソ	Td
タ	Rs
チ	MGd
ツ	TdM
テ	BdM
ト	Id
ナ	Gd
ニ	Bd
ヌ	Xs
ネ	Ws
ノ	Y
ハ	Oa
ヒ	Rr
フ	Y
ヘ	Yda
ホ	F
マ	YS
ミ	SSS
ム	Zs
メ	Xo
モ	AHd
ヤ	YI
ユ	X
ヨ	Xb
ラ	AY
リ	Kd
ル	Rd
レ	Z
ロ	J
ワ	IY
ヰ	Mb
ヱ	YIA
ヲ	YA
ン	SA
